,user_id,prj_led,admin_roles,isEmployee,type,rsc_prj,rsc_department,proprietary,task,activity,action,user_task_corr,user_prj_corr,user_department_corr,expertise
110945,033e8f36-722d-459a-8c3b-103f4f273936,0,13,0,22,51,8,0,7120,30,False,0,0,0,0
108835,21d212da-4eae-4878-a5ce-197f986832fd,52,12,0,20,61,6,0,5110,36,False,0,0,1,0
108117,54bebd25-1fe8-45b7-b924-2174b8cdcbf9,0,11,1,21,62,4,0,51200,32,False,0,0,0,2
107650,6d0390ec-c11b-4e83-b0d6-35c81e44f84c,0,11,1,21,31,3,1,3110,34,False,0,0,1,0
106893,b4e77f25-af24-4b81-be9f-c7410d521867,21,10,1,21,22,1,0,32100,33,False,0,0,0,2
107075,f4727d68-3608-40f9-b93e-6b75769e4768,51,10,0,22,61,1,0,22100,35,False,0,0,0,0
108235,c3a326a5-b5f5-4b17-8685-b1cf52294bc0,0,11,0,20,72,8,1,71200,32,False,0,0,0,0
107371,dc680bcc-5c7a-461b-ac28-d6d7db7c2db7,0,11,0,21,41,8,1,3220,32,False,0,1,0,1
107321,e49a30f4-1714-4b3d-823c-2e8d30178bd7,0,11,0,21,42,5,1,3110,33,False,1,0,1,0
109523,82d95f57-146a-4591-a8ee-9e9c3d9636a8,74,12,0,21,73,7,1,61200,30,False,0,0,0,2
108407,874147b8-89ce-44e0-89c7-3e6cfbf22a08,0,11,1,20,72,2,0,3120,36,False,0,0,0,1
107168,4cfd876b-a411-44d8-b600-b5e7e500141e,0,10,1,22,21,6,1,1120,35,False,0,0,0,0
110422,ca5513ab-716e-43c5-b27e-94f8f08d96f1,0,13,0,20,72,3,0,52100,34,False,0,0,0,2
108917,2c46e49e-d1e9-4827-95dc-65ca29946752,0,12,1,22,51,5,0,4210,35,False,0,0,0,0
107509,3df4c307-3ab9-46a6-856b-d2f7c39a7ade,0,11,0,21,42,4,0,32200,31,False,0,0,1,0
110939,7c7bc425-ecff-4407-a8c2-7aec373ab0a2,32,13,0,20,32,8,1,71100,35,False,0,1,0,2
109370,a1941fbf-2701-427d-87c8-e158a295513e,62,12,0,21,52,3,0,7220,34,False,0,0,0,1
108694,376700ac-2045-43aa-9e2b-3d0d1c04406d,0,12,0,22,62,5,0,6110,36,False,0,0,0,0
106438,add8e1e6-bf05-4087-8eee-a2b3155cafa4,0,10,0,21,51,6,1,21100,35,False,0,0,0,0
106751,56fcc045-3cc1-4bf8-b90b-957cc4bc02aa,0,10,1,22,72,2,0,32100,35,False,0,0,0,0
110817,fe7ed0f6-ebc3-4d53-b4b0-37879470eda6,0,13,0,22,31,7,0,6220,33,False,0,0,1,2
109802,978fc156-964b-4361-b6f6-a5a919cc3744,0,12,0,20,31,6,1,73100,35,False,0,0,0,0
111083,bed48131-c414-4991-9928-c821f4442566,0,13,0,20,74,7,1,52200,30,False,0,0,1,0
106149,a1bd1e0e-967e-4736-91bf-e77bc4a91181,22,10,1,21,12,2,1,2110,35,False,0,0,0,2
110949,f4160832-8880-4f38-af56-a1c3bad09457,0,13,0,20,42,7,1,72200,30,False,0,0,0,0
106437,a59b5ccd-9fb3-4545-8622-ca1927c84914,0,10,1,20,31,8,0,11200,30,False,1,0,0,0
106012,91ff75f2-65fb-4cc3-90fc-91479687c7d4,0,10,1,22,22,2,0,21200,32,False,0,0,0,0
106093,bed2eb4e-7b33-4633-b71f-4af25779d3d0,22,10,0,21,11,1,0,12200,30,False,0,0,0,2
109638,7c6a2564-886f-4175-a001-3646f9320452,0,12,0,22,71,4,0,5120,35,False,0,0,0,0
108447,809d18ee-ca85-49d6-bcfc-7eda52b5869d,0,11,0,22,22,6,0,41200,32,False,0,0,1,0
111169,fa4f6840-3771-4031-a01b-7b4e7b4f0e34,71,13,1,21,73,5,1,7220,35,False,0,0,0,0
106626,0537b3fe-c7d7-4442-9b6c-499b66f65cf9,51,10,0,22,73,4,0,3110,30,False,0,0,0,1
108995,44648425-8ebf-4fd4-85d5-dc31a0e251e5,0,12,1,20,52,6,0,1110,30,False,0,0,0,2
106776,f4943ce9-cd17-4754-bb44-2e2322565bbd,31,10,1,21,71,1,1,3220,32,False,0,0,0,1
107612,81b90d1c-e163-4489-b9b3-9573fccc7c0b,32,11,1,22,31,4,1,3220,34,False,0,0,0,0
110498,b15d837f-c909-4f38-b080-58f0588fe9d0,0,13,0,22,32,7,0,52100,35,False,0,1,1,1
109982,d1586784-198e-4c44-b5f4-55b7b59622c5,74,13,1,22,71,7,0,71100,32,False,0,0,1,0
108954,e41b0c21-0e70-4d60-ba18-c3e03955f6cd,62,12,0,21,52,6,1,42100,34,False,0,0,0,2
107338,1c72c1fc-9f7b-4c49-b4e9-96926bedce70,0,11,0,21,42,7,0,22200,31,False,0,0,0,2
107197,9106dc04-91b5-4d0c-8784-2c789e73e6f9,21,10,1,22,22,4,1,12100,36,False,1,0,0,0
107345,513fffed-e264-4623-96a6-b7310efe2239,41,11,1,21,31,8,0,32100,30,False,0,0,1,2
109807,a0c10ffb-1617-44ae-a830-9c9adcef6303,32,12,0,20,22,6,1,3210,35,False,0,0,0,0
108569,3304364f-cdfa-4d6c-ac89-ae115198a40d,42,11,1,20,32,2,1,1120,30,False,0,0,0,0
107543,b2e207cd-58d1-4eb9-99f0-e317fe20f177,0,11,1,22,41,4,0,41100,35,False,0,0,0,0
106429,b0c18cbd-93fb-415a-8b88-ddcdbd52294b,0,10,1,20,32,7,1,2220,31,False,0,0,0,0
111131,079faf6d-e15f-4c0a-92f8-9a63ec7025f8,71,13,0,20,73,6,0,7110,36,False,0,0,0,0
111105,a77aa99b-903b-454d-9bd9-1f5ce033b336,72,13,0,21,74,7,0,4210,31,False,0,0,0,0
111111,10bb2f52-64a7-4711-8c2f-9ec7d682333f,72,13,0,21,71,8,0,2110,33,False,0,0,0,0
108857,423eb1f5-b935-415e-9b77-01d2779b570c,62,12,0,21,62,6,0,71200,33,False,0,1,0,1
110313,e1d64b8e-fc4a-45fb-996c-51d47b1e9669,12,13,0,21,31,5,0,7310,35,False,0,0,0,0
107176,6e6c167e-dc3c-4c41-9090-2d816ec4c57a,0,10,0,21,11,5,1,22100,30,False,0,0,0,0
110213,d590404f-f855-4348-a636-4ac416ed5b4e,0,13,0,21,61,4,1,71200,36,False,0,0,0,0
108757,4a31cf1b-a22a-43db-bc7d-eccb73bd791c,62,12,0,20,62,5,0,6110,34,False,0,1,1,2
110935,98e395b1-1293-4189-ad32-f6d3c9d38daf,0,13,0,22,31,8,1,7320,30,False,0,0,0,2
110996,e84b3a9e-9cd6-4956-b238-a2dbb080280b,71,13,1,21,74,8,1,6210,32,False,0,0,1,0
109737,f2d6dbb3-e298-43c0-a5e7-5b7780e3ea4f,73,12,0,22,41,8,1,22200,35,False,0,0,0,0
109313,8bd69c06-97ab-4084-a316-0ea4981962e3,61,12,1,21,51,3,0,52200,32,False,0,0,0,2
108605,56b404e9-03bc-4549-b326-fb62df16fe8a,0,11,0,22,31,6,0,62200,33,False,0,0,0,0
108804,0c7a91b6-e21d-43f9-bd01-43fbce595732,62,12,0,21,51,5,0,51200,36,False,0,0,1,0
107744,c0b92c02-cabb-48ee-91ea-db30ad9a1e00,0,11,0,20,22,3,1,3220,35,False,0,0,0,1
110957,3709e539-e815-423c-ac80-8c243451fd19,22,13,0,21,52,7,0,71200,30,False,0,0,0,0
107334,56bdfb4d-b76a-4a21-bb5c-6d61ac49d714,0,11,0,20,32,8,1,31200,33,False,0,0,0,0
106287,6595c5b3-c890-41b3-bba8-53146696e267,0,10,0,21,22,5,0,4220,30,False,1,0,0,2
109492,c3c038ae-bede-4d47-b18f-d9d0b42a172a,73,12,0,20,42,3,0,6110,33,False,0,0,0,0
110519,962654fc-13b1-4c2e-9139-9e7b4d6e6cf9,21,13,1,22,62,7,1,22100,30,False,0,0,0,0
109163,76e98bb5-e0a5-42b6-a83c-fd946ed94bd5,0,12,1,21,51,8,1,5220,31,False,0,0,0,0
109138,fc2125ba-c944-4f7a-9ec7-693f8f733226,0,12,1,21,72,6,1,6120,35,False,0,0,0,0
106561,a8913b16-e032-4360-84f2-4d0cafc35b1f,71,10,1,22,42,3,1,61100,34,False,0,0,0,0
108927,c3c74467-f250-4b19-aeba-9ecb93e8e8c0,61,12,0,21,61,5,1,22100,36,False,0,1,0,0
110884,4bb6b5fb-489c-4d24-a9fe-05f4aeb584f4,0,13,0,21,51,7,1,7210,34,False,0,0,1,0
109892,28c6a995-e922-4b7a-8e88-c31d2e87a727,71,12,1,22,31,6,0,22200,31,False,0,0,0,2
109849,bab3dacd-87ca-4fe0-92c2-ffbdfb694c5c,0,12,0,21,73,5,0,1220,36,False,0,0,0,1
109403,c0209af6-6857-4f2f-be33-de61fb38e545,0,12,0,22,52,8,0,41200,36,False,0,1,0,0
108617,12d11efb-e8cc-489c-8fc8-532a6bcf97c7,0,11,0,21,41,2,0,5110,31,False,0,0,0,0
106833,f6947098-79ac-4558-a417-1a1dd77a7569,73,10,1,22,31,2,0,73200,31,False,0,0,0,0
110926,bd7c8599-ab08-4b19-9927-13d2c1688835,0,13,1,21,12,7,1,7210,33,False,0,0,0,0
108885,6bdbe7bc-0ba7-4db6-8a67-baa2d4c541c2,0,12,0,22,61,6,1,7320,31,False,0,1,1,0
109639,6addc39f-aa4a-4c0c-876b-67ec0a74174a,0,12,1,21,11,8,0,61100,34,False,0,0,0,0
109238,8ed4d857-0fbb-4e5e-b32d-3ff044764ae0,0,12,0,22,61,7,1,5220,33,False,0,0,0,0
110080,469cebb8-d949-42fc-b8c4-d4b2974a34a2,0,13,0,22,72,8,1,62200,36,False,0,0,0,0
111259,90b05681-42a9-4111-b56f-e3f5c6a2a4a1,0,13,1,20,72,2,0,72200,32,False,1,0,0,2
108341,0ee1950e-45df-4747-b962-353822ef57c2,0,11,0,20,12,6,1,32100,32,False,0,0,0,0
110060,688a441a-a317-4b24-82df-8b8420fef6aa,73,13,0,21,72,7,1,7110,32,False,0,0,0,0
110230,018efc88-afc7-427d-817b-babb3470f9bc,0,13,0,22,61,3,1,7320,35,False,0,0,0,2
106807,5e933024-1b61-41a4-881d-a8eb52588fd8,62,10,1,21,42,1,1,72200,33,False,0,0,0,2
108598,b5544d17-e575-4272-99d8-28a87c8f32da,0,11,0,22,31,5,0,61100,35,False,0,0,0,0
109296,33a8c5b9-a0b6-4ee3-8b50-20ea04f3d5ee,0,12,1,22,62,4,0,6120,32,False,0,1,0,1
