user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
1d1fab51-d1b1-463a-9d81-a76aece7c200,proj12,,auditor,1,proj42task2a,dept7,True,budget,proj22,dept3,,True,proj61task1propa,setStatus,False
a2590cde-4ae9-49b7-ac44-c040d29a1d8f,proj41,proj41,auditor,,proj52task1propa,,True,schedule,proj21,dept7,2,True,proj51task1a,approve,False
1cb13622-8b73-4888-a054-ad570247ef0c,proj41,proj41,auditor,1,proj61task1a,,False,schedule,proj74,dept7,2,False,proj52task2propa,setStatus,False
c51f98b7-bfd1-485f-9fab-97501b2293a3,proj41,,auditor,,proj61task1a,,True,budget,proj71,dept8,,True,proj51task1propa,setStatus,False
f601d3fd-2ab7-4d2e-a7cd-d42902b8a8bc,proj11,,auditor,,proj52task2propa,dept4,False,schedule,proj42,dept2,,False,proj52task1a,request,False
54c4a113-412e-4ef8-a1d3-06ffad897bf9,proj72,,auditor,,proj52task2a,dept3,False,budget,proj11,dept2,1,False,proj51task1propa,read,False
f019d1e5-7704-4ec4-a706-a0dc8a5beba7,proj72,,auditor,,proj61task2a,dept4,True,schedule,proj12,dept2,,True,proj61task2propa,setSchedule,False
faf12932-43c2-4ff1-9ffd-78251593f335,proj22,,auditor,2,proj51task1propa,dept2,False,task,proj71,dept7,2,True,proj42task2a,approve,False
645304c7-e12e-4614-93ea-03952c399a20,proj41,proj41,auditor,,proj52task2a,,False,schedule,proj74,dept2,,True,proj51task1propa,setStatus,False
86028ce6-0bb6-424e-93b3-8d764b1e7dd1,proj12,proj12,auditor,,proj61task2propa,dept1,False,schedule,proj11,dept7,1,False,proj51task1a,approve,False
3cc69c92-b7d7-423d-9254-081dfacee2f5,proj72,,auditor,,proj51task1a,dept8,False,schedule,proj72,dept1,1,True,proj51task2propa,read,False
cf6a77f4-87a3-45d2-9593-3a76b22edf6f,proj21,proj21,auditor,,proj52task1propa,,False,budget,proj41,dept2,2,False,proj52task1a,setSchedule,False
c3c038ae-bede-4d47-b18f-d9d0b42a172a,proj73,proj73,auditor,1,proj51task1a,,False,budget,proj42,dept3,,False,proj61task1a,setStatus,False
1573146f-3b3a-4bc8-a216-5a8964bd6a42,proj31,proj31,auditor,2,proj52task2a,dept2,False,task,proj12,dept1,,False,proj51task2a,setCost,False
2b267ba7-c512-4ef0-8ddd-0b15f4a2a365,proj73,proj73,auditor,2,proj51task2propa,dept7,True,schedule,proj32,dept3,2,True,proj62task1a,setSchedule,False
249317d1-c0cf-45f8-902d-21c04851f3a1,proj74,,auditor,,proj51task1a,dept1,False,task,proj73,dept2,,False,proj61task1propa,request,False
a5736e1d-871b-4880-9c2f-8170226df0c5,proj21,,auditor,,proj51task2a,,True,task,proj32,dept3,1,False,proj51task1a,setSchedule,False
3c4bd578-bb96-4ce3-8b97-d36a2d36b9e2,proj31,,auditor,,proj61task1propa,,True,budget,proj21,dept1,2,True,proj61task1a,request,False
a0e5eb85-c85f-4020-bf20-656171284672,proj41,proj41,auditor,1,proj61task2propa,,True,budget,proj22,dept3,,False,proj51task1a,write,False
295f10e9-82f1-45a1-96bc-750c70897106,proj71,proj71,auditor,1,proj42task2propa,,False,task,proj42,dept1,,False,proj61task2propa,read,False
685d9257-c4ba-4fd9-a7e9-331b4375054f,proj32,proj32,auditor,1,proj51task2propa,dept8,False,task,proj74,dept7,1,False,proj51task1a,setSchedule,False
3a69a689-33e7-474e-ac8c-fb1e14ee5067,proj22,,auditor,2,proj51task2a,,True,schedule,proj11,dept7,,False,proj51task1a,setCost,False
6eea1d81-437c-43bc-92ea-292291f4946b,proj71,,auditor,2,proj61task2a,,True,task,proj72,dept3,,False,proj42task2propa,setCost,False
89eb0d01-9ffa-49d4-b624-ff946afd4502,proj12,,auditor,1,proj51task2propa,dept2,True,budget,proj71,dept1,,True,proj52task2propa,approve,False
20e1e0c1-8ef4-4dcb-89b4-abf47e7febd4,proj31,proj31,auditor,2,proj42task2propa,,True,schedule,proj21,dept4,1,True,proj51task1a,read,False
826ec845-afe2-4095-977b-2eaf946b2cf7,proj31,,auditor,,proj52task2a,,False,budget,proj32,dept7,1,True,proj51task2a,write,False
3bcce1f3-e316-477e-b206-ae962a71f5ab,proj72,,auditor,,proj61task1propa,,True,schedule,proj74,dept2,2,False,proj52task1a,setSchedule,False
77fc01fe-0aba-4360-8195-03c849771274,proj11,proj11,auditor,,proj52task1propa,,False,task,proj41,dept4,2,False,proj51task1a,read,False
7d2e1dcc-9a2c-4639-ba5c-0dfe99751d43,proj74,,auditor,1,proj52task2a,dept3,True,schedule,proj22,dept7,1,False,proj51task2propa,request,False
02e36ffb-f453-4ace-85a7-c6348bef6103,proj22,,auditor,2,proj51task1propa,,False,budget,proj71,dept1,2,True,proj51task1propa,setCost,False
1ef3f1bc-4ac4-4cfa-b260-cc53de382df4,proj73,proj73,auditor,,proj42task2a,dept1,False,schedule,proj12,dept7,,True,proj52task1propa,request,False
c8ceb20b-6639-41e9-a4bd-4f892f0a3761,proj11,proj11,auditor,,proj61task2a,,False,budget,proj12,dept2,1,False,proj52task1propa,approve,False
2ce7b092-202e-41e2-9677-3a093cd8f0cf,proj22,proj22,auditor,2,proj51task2a,,False,budget,proj42,dept8,,True,proj51task2propa,setStatus,False
7d517779-d1cd-441c-b0f2-482895086252,proj11,,auditor,,proj51task1propa,dept4,True,budget,proj72,dept8,,True,proj42task2propa,setSchedule,False
4fada0ff-41b6-47f4-9838-c8d703653782,proj74,,auditor,2,proj52task2propa,,True,schedule,proj32,dept1,,True,proj51task1a,setSchedule,False
2c0ce0d3-e839-41bb-9151-8378d20c687b,proj41,,auditor,2,proj52task2a,,False,task,proj31,dept7,1,True,proj61task2a,read,False
5c755c7b-fc77-4c93-9cdd-0b67922a34b4,proj71,,auditor,2,proj51task2propa,,False,task,proj11,dept2,1,False,proj42task2propa,write,False
4dc2d50c-e7e4-43a2-9f43-5fb931c5c75c,proj12,proj12,auditor,,proj61task2a,dept2,True,task,proj42,dept7,1,True,proj52task1propa,setStatus,False
7a9e7fe4-c76d-45c5-8fc2-3cdf68d20523,proj41,,auditor,1,proj61task1propa,dept4,True,schedule,proj21,dept8,2,False,proj61task2a,read,False
9ede7a23-b7ee-489c-9b89-71a1a874693e,proj72,,auditor,,proj52task1a,dept8,True,task,proj42,dept7,,False,proj52task1propa,setStatus,False
49aa2ccd-7ba0-4285-9994-445d615d9b8b,proj73,proj73,auditor,1,proj42task2a,dept4,False,schedule,proj73,dept1,,False,proj51task2a,request,False
476dfe95-ae85-4cfe-b992-79da9e06e0e2,proj21,,auditor,2,proj42task2propa,,False,schedule,proj71,dept4,,False,proj52task1a,write,False
8a0ecf17-3b73-42ec-8c12-df4129981409,proj11,,auditor,2,proj61task1a,,False,budget,proj73,dept1,,True,proj42task2a,read,False
82d95f57-146a-4591-a8ee-9e9c3d9636a8,proj74,proj74,auditor,1,proj42task2a,dept4,False,schedule,proj73,dept7,1,True,proj61task2propa,read,False
717fdcde-e7fc-4048-8e3d-297a6e89503b,proj11,proj11,auditor,,proj52task2a,dept3,False,budget,proj11,dept8,1,True,proj61task1propa,read,False
3edff2c5-d505-49ff-a51d-2b6e5e606a2d,proj11,,auditor,2,proj52task1a,dept7,False,task,proj32,dept1,,True,proj52task2a,setSchedule,False
1d8ef3ed-9fd3-446e-975a-4e935dffaa10,proj11,,auditor,,proj51task1propa,dept7,True,budget,proj22,dept8,2,False,proj51task1a,write,False
1d5fbab2-b90a-4c10-895a-cd6aadfa61db,proj32,,auditor,2,proj51task1propa,,False,budget,proj31,dept2,2,False,proj52task1propa,request,False
ec975502-27c4-454e-b7e7-b37c4f14edcd,proj12,proj12,auditor,,proj61task2a,,False,task,proj21,dept3,2,False,proj51task1propa,setStatus,False
cca31274-f943-4db5-8b62-5b663a034f9c,proj21,proj21,auditor,,proj61task2a,dept7,True,task,proj31,dept2,2,False,proj61task2propa,request,False
19697460-0546-45c9-b977-bfcd35fa9d32,proj74,proj74,auditor,,proj52task2propa,,False,budget,proj71,dept2,2,False,proj52task1a,read,False
cdb2f840-89b5-426f-8a67-a5a12b680ff6,proj71,proj71,auditor,1,proj61task1a,dept7,True,task,proj31,dept2,,True,proj51task2a,request,False
6abc23bf-bea0-45f1-9ff5-485b2ab80ae2,proj31,proj31,auditor,,proj42task2propa,,False,schedule,proj73,dept3,1,False,proj42task2a,approve,False
0377f579-d373-4bef-ba1d-44019aa01a51,proj12,proj12,auditor,1,proj51task2propa,dept1,False,budget,proj72,dept4,2,False,proj51task1propa,approve,False
4d7b08e2-52a5-443c-bc56-f118b28ce412,proj72,proj72,auditor,1,proj52task2a,dept8,False,task,proj12,dept8,,False,proj61task2propa,approve,False
809b9f2b-cc8e-4c9b-a70f-c27c71505326,proj74,,auditor,,proj42task2a,dept1,True,task,proj74,dept2,1,True,proj52task2propa,read,False
475d71b9-50af-4b4a-adf9-750e12c137a3,proj41,,auditor,,proj62task1a,dept3,True,budget,proj22,dept8,,True,proj42task2propa,setStatus,False
0f38d364-0cc5-4b3e-ba93-2c6bf587ed1c,proj22,,auditor,2,proj52task2a,,True,schedule,proj22,dept4,2,False,proj51task1a,approve,False
5a6d4fdb-ab0e-47a0-b55c-7975bb57e9b3,proj74,,auditor,,proj51task2propa,dept8,False,budget,proj12,dept2,1,False,proj42task2a,read,False
ce9e69c4-d65a-4e08-8876-c45ecca1ed2f,proj42,proj42,auditor,,proj51task1propa,,True,budget,proj71,dept8,2,False,proj61task2propa,read,False
f9878aec-d9cb-408b-bb46-7233d2fda8f0,proj71,,auditor,1,proj61task2propa,dept1,True,schedule,proj74,dept4,2,True,proj62task1a,approve,False
14d319aa-c72a-4eb9-a028-d390d908e92e,proj12,,auditor,2,proj52task2a,,True,budget,proj41,dept7,2,True,proj62task1a,read,False
ba821941-0be0-43ac-a1e9-0001c71ac74b,proj11,proj11,auditor,,proj52task1a,,False,budget,proj12,dept1,2,True,proj52task1a,approve,False
1e40f2d5-d638-4a5a-bce9-fcb35ea055ba,proj41,proj41,auditor,2,proj42task2a,,True,task,proj71,dept7,2,True,proj51task2a,approve,False
dd7d7f05-461e-45ec-aaf9-5b7ccc235cd2,proj72,,auditor,,proj52task1propa,,False,schedule,proj31,dept8,,True,proj52task2a,write,False
eb75387e-ab8c-4637-9164-4ec7b63d1e39,proj42,proj42,auditor,2,proj61task2a,dept3,True,schedule,proj31,dept7,2,True,proj51task2propa,setCost,False
2ca0787b-5b7a-413e-a19f-764330d4b248,proj32,,auditor,1,proj61task2propa,,False,budget,proj42,dept2,,True,proj51task1propa,setCost,False
bd1c2205-dd44-45f8-9bff-7a8fd7aff617,proj21,proj21,auditor,1,proj52task1a,dept7,True,task,proj41,dept8,1,False,proj52task1a,request,False
b1217603-375d-4c1b-b687-6c6648ac180b,proj32,,auditor,1,proj61task1propa,dept8,True,schedule,proj71,dept1,1,True,proj61task2a,request,False
d4a0cce8-7898-43a7-bc3a-0cac384dd7fd,proj71,,auditor,,proj52task2a,dept3,False,budget,proj41,dept4,,False,proj52task1a,setStatus,False
8868b771-6340-4e41-8dfd-c497ec0bde3c,proj42,proj42,auditor,,proj61task1propa,,True,budget,proj42,dept4,,False,proj61task1a,request,False
c4de6102-4dea-4c32-8e6e-dd05ee6779f7,proj73,proj73,auditor,,proj51task2a,dept8,False,budget,proj32,dept4,,True,proj51task2propa,setStatus,False
69efedd1-d99d-4d88-8539-617170d3e1f4,proj21,,auditor,1,proj51task2a,,False,schedule,proj71,dept8,,False,proj42task2a,approve,False
a3659451-5263-4ef4-9c3b-ed76507b4e2c,proj21,proj21,auditor,,proj61task2propa,,True,task,proj72,dept2,2,True,proj52task1propa,setSchedule,False
369db806-76e9-4994-9aae-55eee97b0436,proj42,,auditor,1,proj51task2a,,True,schedule,proj11,dept4,,False,proj51task2a,setSchedule,False
ec4715c2-bf17-4f50-b3d2-201fbeceea4c,proj73,,auditor,1,proj61task1a,,True,task,proj21,dept1,,True,proj51task1propa,setSchedule,False
564d40f4-c4d8-4584-af43-ed6660f3ff99,proj12,,auditor,,proj52task2a,,False,task,proj21,dept2,,True,proj52task2a,setStatus,False
fef18fc2-52cb-4c65-8d6d-f554faa0fed1,proj21,,auditor,2,proj51task1a,,True,task,proj11,dept2,2,True,proj62task1a,approve,False
06ac28e6-7b46-4a57-8dd3-6791f9d6f723,proj41,proj41,auditor,2,proj42task2a,,False,task,proj32,dept2,,True,proj61task1a,approve,False
208115f9-730c-480c-b086-bfd4b4f97444,proj21,,auditor,,proj52task2a,dept4,False,schedule,proj71,dept3,,False,proj61task1propa,write,False
