user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
e28c3d6b-535b-437e-8df7-3c2605843576,proj21,,manager,2,proj22task1a,dept4,False,task,proj22,dept8,,True,proj22task2a,read,False
851a3d55-80d9-4b73-9ce7-fa0f79981444,proj21,proj21,manager,2,proj11task2propa,,False,task,proj22,dept3,1,True,proj11task1propa,setCost,False
2039f57d-5a38-4b3b-8514-ad9d2573eaac,proj21,proj21,manager,1,proj12task1a,dept3,True,schedule,proj21,dept7,1,True,proj12task1a,setCost,False
fc960e0e-397a-4f01-b7c7-47064dfee7d1,proj12,proj12,manager,,proj12task2propa,,True,budget,proj12,dept6,1,False,proj22task1propa,setStatus,False
1d8da28e-5d86-4a80-9544-bacf95180b81,proj11,proj11,manager,1,proj21task2a,,True,schedule,proj21,dept7,2,False,proj12task2propa,write,False
57e7b0e9-3885-441d-86d9-f3835787e1bc,proj11,proj11,manager,2,proj22task2a,,True,schedule,proj22,dept5,,True,proj11task1propa,approve,False
cf5849a6-c63a-4693-bdc9-af2415f45efb,proj11,proj11,manager,2,proj21task2a,dept4,False,task,proj11,dept5,,True,proj22task1a,setStatus,False
69647d24-e9c0-47ca-839e-cfd99f926f39,proj12,proj12,manager,2,proj21task1a,,False,budget,proj12,dept3,,True,proj21task1a,setSchedule,False
4cfd876b-a411-44d8-b600-b5e7e500141e,proj11,,manager,,proj11task2propa,dept5,True,task,proj21,dept6,,True,proj11task2a,setCost,False
ef69c62e-c8ba-44ce-9159-c9563b54bea8,proj21,proj21,manager,,proj21task1propa,,True,task,proj11,dept3,,True,proj11task1propa,write,False
ef7535c1-945c-48af-8b6b-cb64380b4052,proj22,proj22,manager,,proj11task1propa,dept8,True,task,proj21,dept3,1,False,proj12task2propa,write,False
03430613-ee2d-4dae-85dc-8c7fd4227b7f,proj21,,manager,,proj11task2a,dept3,False,task,proj11,dept4,2,True,proj22task2a,setStatus,False
89b02782-16b8-46de-94da-640e1bb997d1,proj22,,manager,,proj11task1a,,False,schedule,proj22,dept8,1,False,proj21task1a,setStatus,False
193e3667-cb4f-473d-a357-e9010499edbb,proj22,,manager,,proj22task2a,dept7,True,schedule,proj22,dept6,,True,proj21task1propa,setStatus,False
e7726ab5-0bd5-46f2-bbda-dcfa6aebe64b,proj12,proj12,manager,,proj22task1propa,dept4,False,budget,proj12,dept5,,False,proj21task2propa,request,False
e404329f-3093-48a0-9d3c-1fe258aa301a,proj12,,manager,,proj12task1a,,False,schedule,proj22,dept5,,True,proj11task1a,write,False
6e6c167e-dc3c-4c41-9090-2d816ec4c57a,proj22,,manager,1,proj21task2a,dept4,False,schedule,proj11,dept5,,True,proj22task1propa,read,False
2aff8c88-02e5-4065-bbc6-ba30fec04603,proj21,,manager,2,proj22task1propa,,False,schedule,proj12,dept8,,False,proj22task1a,setCost,False
b281a255-68c4-447d-8fc2-f07a5d378e9a,proj21,proj21,manager,,proj12task2a,dept7,True,task,proj11,dept5,,False,proj21task2a,request,False
d6737bd2-9c4f-41f6-9c89-0095948bec2a,proj11,,manager,,proj21task2propa,dept7,False,task,proj22,dept6,1,False,proj12task2a,approve,False
59e5c5f3-422a-471a-b616-75acc9545d35,proj21,proj21,manager,,proj22task1propa,,False,schedule,proj12,dept5,2,True,proj11task1a,setStatus,False
4cf411a7-e89a-47a7-b167-6fde2b394aaa,proj12,,manager,,proj11task1propa,,False,schedule,proj21,dept7,2,False,proj12task2propa,read,False
80b92439-1ab7-4c7e-b0a2-a78aefcfeaae,proj11,,manager,1,proj22task1propa,,False,task,proj21,dept6,,False,proj22task1a,request,False
0da7d230-eb6f-42b2-8d86-3f79bd648964,proj12,proj12,manager,1,proj21task1a,,False,schedule,proj21,dept5,,False,proj12task1a,setCost,False
584b8dc3-4667-4e57-b174-aa59d2790543,proj21,proj21,manager,,proj11task2propa,,False,task,proj21,dept7,1,False,proj12task2propa,approve,False
d2e10095-8296-4370-88ed-379282a48759,proj21,,manager,,proj21task1a,dept8,False,schedule,proj12,dept4,2,False,proj12task1propa,request,False
33abc3e7-0a6c-4eed-b4ce-a40b0a2b711a,proj22,proj22,manager,2,proj21task1a,,False,schedule,proj21,dept3,2,True,proj21task1propa,read,False
f1b34a87-28c0-4664-b046-6db72be91067,proj22,proj22,manager,1,proj11task2a,,False,budget,proj11,dept5,2,False,proj22task1a,request,False
f5c786ee-1a5f-4c80-b963-89ea1cce4ed4,proj11,,manager,1,proj22task1propa,dept7,True,task,proj22,dept4,,False,proj21task2propa,write,False
12877f1d-95a4-4635-b806-0193ef0f152c,proj12,proj12,manager,,proj21task1a,,False,task,proj21,dept7,,False,proj12task1propa,read,False
a513c2e3-34c9-4408-afc4-76716e30db70,proj12,proj12,manager,,proj22task2a,dept6,True,budget,proj11,dept3,2,True,proj21task1a,setStatus,False
6e60e9bb-aa34-4ad0-9aab-a13e4a94455d,proj12,proj12,manager,2,proj12task1a,dept4,True,task,proj22,dept6,1,False,proj22task2a,setStatus,False
9c28f740-13b8-4fd7-8706-2a01126d0b77,proj12,,manager,,proj11task1propa,,True,task,proj12,dept5,2,False,proj12task1propa,request,False
66ae93dc-61e2-4dc1-ad34-70911c30026c,proj21,,manager,,proj12task2propa,dept6,False,budget,proj22,dept7,,True,proj21task2propa,setSchedule,False
95784a71-1a3c-43f6-9c84-09fea3785fe6,proj22,proj22,manager,2,proj22task1a,dept4,False,budget,proj22,dept4,,True,proj22task1propa,setCost,False
8d808b93-c5dc-495d-b4a1-8fd5cadb52ca,proj11,proj11,manager,2,proj12task2propa,dept8,False,budget,proj11,dept5,2,False,proj11task1a,approve,False
b6440e5b-b083-4fdc-9fa8-b385f7151fdf,proj22,,manager,,proj12task2propa,dept7,False,schedule,proj21,dept7,2,True,proj21task2a,read,False
9106dc04-91b5-4d0c-8784-2c789e73e6f9,proj21,proj21,manager,,proj12task1propa,,True,task,proj22,dept4,2,True,proj12task1propa,setSchedule,False
3a0e02e7-b00c-4a55-9bdf-841fd134ec7d,proj11,,manager,2,proj21task2a,dept4,True,schedule,proj12,dept7,2,False,proj22task1propa,write,False
0b549cc3-071c-4303-8f10-9126f44df3b8,proj22,proj22,manager,,proj21task1a,dept7,False,schedule,proj11,dept6,,False,proj21task1propa,setStatus,False
0b3cc2ac-73ec-4ad6-aa4c-9dd29b57b88a,proj21,proj21,manager,,proj12task2a,,True,schedule,proj21,dept8,2,True,proj11task2propa,write,False
8ca1817e-5efd-46f1-af2b-f8e35bf05c52,proj11,proj11,manager,,proj12task1propa,dept4,False,task,proj12,dept7,1,True,proj21task1propa,request,False
47039d0a-9ce9-4511-8518-656cd1b08dbf,proj11,proj11,manager,,proj11task2a,,True,budget,proj22,dept4,,True,proj12task1propa,approve,False
c56eda9e-0977-45f4-b99e-aabe39b51547,proj22,,manager,2,proj22task1a,dept3,False,schedule,proj21,dept5,,False,proj22task1propa,setSchedule,False
bf2018bf-2640-45f4-af61-eeeeb9120280,proj21,,manager,2,proj21task1propa,,False,schedule,proj21,dept3,,True,proj12task2propa,approve,False
b766817f-ff70-451d-8c01-9fe535d079dd,proj22,proj22,manager,,proj11task2a,,False,schedule,proj22,dept8,1,True,proj21task2propa,setSchedule,False
91b06fcb-790d-43d8-863f-6d733eb2dbb4,proj21,proj21,manager,2,proj11task2propa,dept4,False,task,proj21,dept5,,False,proj11task1propa,write,False
19f90288-5966-427b-9b39-1bfa97540b31,proj12,proj12,manager,,proj22task1propa,dept8,False,schedule,proj11,dept6,2,False,proj21task2propa,setSchedule,False
4c3a10ad-76a4-450a-8132-46647d602e06,proj21,,manager,,proj11task1propa,dept5,False,budget,proj11,dept3,2,True,proj21task2a,setSchedule,False
157440e5-409d-4f39-b63a-b9151aeab405,proj12,proj12,manager,2,proj11task2a,dept6,False,schedule,proj22,dept3,2,True,proj11task2propa,setCost,False
