user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
1290e455-fe03-44a3-a1aa-37ff8d0ebe13,proj21,proj21,manager,1,proj52task2a,dept5,True,budget,proj22,dept7,,True,proj73task1a,setSchedule,False
8005fb79-1b28-4711-9d3e-684aa5e07e39,proj12,,manager,,proj31task2a,dept4,True,task,proj21,dept8,1,False,proj71task1propa,read,False
f6b620ed-13a3-491d-a13a-e9abad84bfef,proj22,,manager,1,proj51task2a,,False,task,proj22,dept4,,False,proj41task1a,setStatus,False
23c626ef-02d7-4cd4-853b-55e1442d0965,proj11,proj11,manager,2,proj32task1a,,False,budget,proj11,dept7,,False,proj42task2propa,approve,False
00b32b53-6172-4813-a941-eedc0188f1f0,proj22,proj22,manager,,proj32task2propa,dept7,False,schedule,proj21,dept6,1,True,proj71task1a,setCost,False
2a555b8f-870e-4995-b050-2c3c3464a0e1,proj12,,manager,,proj71task2propa,,True,schedule,proj22,dept8,,False,proj41task1propa,approve,False
db516334-2fb1-47b7-a085-b2436b0f94a3,proj12,proj12,manager,,proj42task2a,dept5,True,task,proj21,dept8,2,True,proj41task1a,setCost,False
05a798c4-9f29-4be2-9761-9a2cfb38fc33,proj11,proj11,manager,1,proj73task1propa,,True,task,proj12,dept5,1,True,proj61task2propa,setCost,False
d8fa9b5e-cb89-4e81-b465-a76b2de7fa46,proj21,,manager,,proj73task1a,,True,schedule,proj21,dept6,,True,proj22task2propa,setCost,False
81001649-bd9d-42df-a73a-0734fbd585cd,proj22,,manager,,proj72task1a,,False,task,proj21,dept6,,False,proj71task1a,request,False
bfe7467f-be90-49d4-a494-334f52b1cae5,proj11,proj11,manager,,proj42task1a,dept4,True,task,proj22,dept8,1,False,proj72task2propa,read,False
f7b90a59-c3a9-4c4a-9c9f-e2670631c077,proj21,proj21,manager,2,proj31task1propa,dept3,True,task,proj12,dept7,,False,proj22task2propa,setCost,False
e4e57eab-3790-408c-9407-4c13882ca70e,proj12,proj12,manager,2,proj73task1a,dept5,True,budget,proj12,dept8,1,False,proj61task2a,setCost,False
6248c1e1-2283-4846-bd35-2493631d43ea,proj11,proj11,manager,,proj41task2a,,False,budget,proj22,dept4,2,False,proj72task2a,setStatus,False
1c417da1-42b4-4942-b84e-632cde767e58,proj21,,manager,1,proj22task2propa,dept7,False,budget,proj12,dept5,,False,proj73task1propa,request,False
3c9c61df-6bba-4c1f-a307-36fc86148e83,proj11,proj11,manager,2,proj42task1a,,True,task,proj21,dept5,1,True,proj31task2propa,write,False
e56c1925-6dfd-45ad-b468-13af4a432fd2,proj22,,manager,2,proj72task2a,dept5,False,task,proj11,dept6,,False,proj62task2propa,setCost,False
dadca807-930a-4cda-b8ac-4449160677f8,proj22,proj22,manager,,proj22task2propa,,False,task,proj21,dept5,,False,proj62task2propa,approve,False
98c88af7-a395-422e-bd7e-94e86603aeb4,proj22,proj22,manager,1,proj41task2propa,,True,schedule,proj11,dept8,1,True,proj42task2propa,write,False
707049b0-3056-48d1-b8d2-150d39edcaa6,proj21,,manager,,proj41task2a,dept4,True,budget,proj22,dept6,1,True,proj31task1a,approve,False
234e34d5-0a80-4f13-b986-3f43b09102a3,proj11,proj11,manager,,proj62task2propa,dept3,False,schedule,proj11,dept7,2,False,proj71task2a,setCost,False
7ddc939e-113e-480c-949c-55523a4174e0,proj22,,manager,1,proj32task1a,,True,budget,proj22,dept5,1,False,proj52task1a,setStatus,False
5f1829c5-d6c6-44bd-8293-d3002ed3105a,proj11,,manager,,proj51task2a,,True,budget,proj22,dept5,,True,proj52task2a,request,False
f4ba772c-0aa2-4c5f-bfac-5ef173c1253c,proj22,,manager,2,proj31task2propa,dept7,True,schedule,proj12,dept6,,True,proj72task1a,request,False
a3cdab32-7b7e-44d0-824d-bb223d5a4d38,proj12,proj12,manager,1,proj51task2propa,,True,budget,proj12,dept3,,True,proj72task2a,write,False
55868909-0163-49b0-ab8d-96e3826fbd96,proj12,,manager,,proj72task2propa,dept4,True,schedule,proj21,dept8,,False,proj31task2a,setStatus,False
a9bade2c-85d1-4653-883a-fddc99e2177b,proj21,,manager,1,proj61task1propa,dept6,False,schedule,proj21,dept4,1,False,proj22task2propa,write,False
2690651a-a0da-42a6-ba54-6da9546af980,proj11,,manager,1,proj31task2propa,dept5,True,task,proj21,dept5,2,False,proj73task2a,setCost,False
eeb86c57-508c-416c-b475-7cabf1a57643,proj12,,manager,,proj62task2propa,dept4,True,budget,proj12,dept6,,True,proj51task1a,setCost,False
3c5053ed-b3b8-4582-9091-e7e5d591306a,proj22,proj22,manager,2,proj32task1propa,,False,task,proj21,dept7,,False,proj42task1propa,setCost,False
72b3446b-b490-4f17-8fdf-4a843e6bf544,proj12,,manager,1,proj42task1propa,,False,budget,proj21,dept7,,True,proj72task2a,setSchedule,False
