user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
533e1b80-b866-4b6d-b89a-22c4f5635ce2,proj62,proj62,planner,2,proj32task2a,dept7,True,budget,proj12,dept8,2,True,proj52task1a,request,False
d763b4fe-d279-4883-b19a-631db301f14a,proj41,proj41,planner,,proj21task2a,,False,budget,proj12,dept8,1,False,proj31task2a,request,False
0a8a2131-2c3c-40cb-a54a-428f489f5c18,proj22,proj22,planner,2,proj61task1propa,,True,schedule,proj61,dept7,,True,proj61task2propa,setSchedule,False
8b3b955f-1784-4f8f-8802-152a7def109f,proj41,,planner,2,proj41task1propa,,True,task,proj12,dept8,2,False,proj12task2a,request,False
844ff1fb-80fb-4cb2-8e40-7cdeda71f18c,proj31,proj31,planner,1,proj61task1propa,,True,schedule,proj51,dept7,,True,proj11task1propa,request,False
5e542385-8855-46aa-a076-5891d9aa2ae9,proj61,proj61,planner,,proj11task2propa,,True,budget,proj12,dept8,,False,proj52task1propa,write,False
d54e989d-41f2-44c9-a637-a1df7b1ddf2b,proj31,proj31,planner,2,proj51task1propa,dept8,True,schedule,proj52,dept8,1,False,proj61task2propa,request,False
fabf63ab-82ca-4a88-a71d-3045744eba84,proj51,,planner,2,proj51task2propa,,False,schedule,proj22,dept8,,True,proj32task1a,setCost,False
2921ea4d-5507-4345-b545-8583a07383fa,proj22,proj22,planner,,proj12task1a,,True,task,proj62,dept7,1,False,proj52task2propa,write,False
f4c4006d-27f9-49bf-8a93-3006bc6d5650,proj22,,planner,,proj21task1a,dept7,True,task,proj62,dept7,,False,proj12task2a,request,False
427b06fa-7447-451b-b58e-2062ffc8752c,proj51,proj51,planner,2,proj31task1propa,,True,budget,proj11,dept8,1,False,proj61task1propa,setSchedule,False
ae7eb034-0961-4b7f-bfbb-13a9c4331157,proj32,proj32,planner,,proj12task2a,dept8,True,task,proj51,dept8,,True,proj61task1propa,setCost,False
13605429-7b5f-4004-9ab0-266fd8310111,proj21,proj21,planner,,proj52task1a,,False,task,proj42,dept7,2,False,proj41task1propa,write,False
80705c7b-8c77-4b4f-bf2f-6c3303a8dcdb,proj32,proj32,planner,1,proj32task1a,dept8,False,budget,proj42,dept8,,False,proj12task1a,setStatus,False
9f53d63c-4109-49ce-ba81-c0143ec26e5a,proj12,proj12,planner,1,proj22task1a,dept8,True,schedule,proj41,dept7,2,True,proj21task2propa,setCost,False
11b70598-8994-4812-b9b9-1e96a0280595,proj42,,planner,2,proj32task2propa,dept8,True,schedule,proj62,dept8,1,False,proj41task1propa,write,False
52b4b041-f547-4ae4-98d1-95f444ae0b5b,proj31,proj31,planner,,proj22task1a,dept7,True,task,proj11,dept8,1,False,proj52task1a,approve,False
bfd66ce2-e644-4cf4-990d-6e7754168f21,proj62,proj62,planner,2,proj61task1a,,True,schedule,proj22,dept8,1,False,proj42task1propa,setSchedule,False
b15d837f-c909-4f38-b080-58f0588fe9d0,proj32,,planner,1,proj31task1propa,dept7,False,task,proj32,dept7,2,False,proj52task1propa,setCost,False
a7e3ae0e-62da-4b47-a6ae-bf8190553be2,proj21,proj21,planner,2,proj11task2a,,False,task,proj42,dept8,1,False,proj52task2a,setSchedule,False
a99928ef-4a43-4571-8998-099c2ff18c92,proj12,,planner,,proj42task1a,dept8,False,schedule,proj12,dept7,,True,proj42task1propa,write,False
ba7d7c6e-cd11-45e2-aaaa-f7df3ed8b517,proj11,proj11,planner,,proj12task1propa,dept7,False,budget,proj22,dept7,1,True,proj12task2a,request,False
4323fce4-9f90-444b-8631-bcccfc99ef07,proj31,,planner,,proj31task1a,,False,schedule,proj22,dept8,2,False,proj21task1propa,setSchedule,False
f119b262-773a-41d2-8dad-c10d099d1e74,proj31,proj31,planner,1,proj32task2a,,True,task,proj12,dept7,2,False,proj42task2a,request,False
fa5a692c-1094-4173-9613-0ca5124783b3,proj62,,planner,1,proj61task2propa,dept8,True,schedule,proj12,dept8,,False,proj21task2a,setCost,False
23b005da-6246-41c2-b51b-45fb1e81adaa,proj52,proj52,planner,,proj51task1propa,,False,schedule,proj42,dept8,2,True,proj31task1propa,approve,False
7cd2d072-685f-42c4-9a1f-67999e5d001c,proj11,,planner,,proj61task1propa,,False,budget,proj22,dept8,2,True,proj51task1propa,read,False
1824ee72-3eda-4d33-858b-5bbe80855f81,proj51,,planner,,proj12task2propa,dept8,False,task,proj61,dept7,,False,proj61task1a,setCost,False
a030e640-8688-405b-9962-1ea1222783c3,proj21,proj21,planner,,proj22task2propa,,False,schedule,proj22,dept8,,True,proj52task1propa,read,False
7b4ee7e7-6bd7-4b51-a09c-8187c44578f7,proj32,proj32,planner,,proj32task2a,,False,budget,proj41,dept8,,False,proj61task1propa,request,False
1540bca0-e098-4864-8191-05a34219d066,proj12,proj12,planner,,proj41task2a,dept7,True,schedule,proj61,dept7,2,False,proj51task2a,setCost,False
4c573d70-7902-4e30-8541-02cde659e2d2,proj22,proj22,planner,2,proj42task2a,,True,task,proj61,dept7,2,True,proj31task1propa,approve,False
194b86cb-15da-47a6-8bd4-54199ed24eeb,proj61,,planner,,proj42task2a,dept7,True,schedule,proj11,dept7,,True,proj21task1a,setStatus,False
e77ca818-733c-42e4-aae4-dd4412de1ee4,proj62,,planner,1,proj22task1a,dept7,True,schedule,proj11,dept8,,True,proj12task1a,setSchedule,False
66aa6c6f-8ffd-4110-97ed-774a0691e7f1,proj52,,planner,,proj61task1a,,False,schedule,proj12,dept8,1,False,proj32task1propa,setCost,False
1c0ee240-075d-4862-a8dd-90a4bd205f98,proj42,proj42,planner,2,proj32task2a,,False,budget,proj31,dept8,1,True,proj11task1propa,approve,False
5bbdc15b-7ea1-4f7b-a739-24aacec57b4c,proj31,proj31,planner,2,proj12task1propa,,True,schedule,proj52,dept7,,False,proj12task1a,read,False
6182f367-b4a1-4092-904c-75146aeecbee,proj11,proj11,planner,,proj22task1a,,False,budget,proj22,dept7,1,True,proj42task1propa,setSchedule,False
a1d11378-c1bf-4855-9a34-c1a80eea2252,proj62,proj62,planner,1,proj21task2propa,dept8,False,schedule,proj61,dept7,2,False,proj62task1a,setStatus,False
962654fc-13b1-4c2e-9139-9e7b4d6e6cf9,proj21,proj21,planner,,proj61task2propa,,True,task,proj62,dept7,,True,proj22task1propa,read,False
9aeb1606-b4e3-4472-8442-ac7ff6dbd64a,proj61,proj61,planner,,proj61task1propa,dept7,False,task,proj52,dept8,,False,proj62task1a,approve,False
980a76ba-c8b8-4344-b307-69b87d00b672,proj32,,planner,,proj41task1propa,,False,budget,proj21,dept7,2,True,proj11task2propa,setSchedule,False
49729f0b-f825-4c19-bc03-b1b34870d3be,proj32,proj32,planner,2,proj32task1propa,dept7,False,schedule,proj42,dept8,1,True,proj62task1a,request,False
95d4e237-eb7b-4c7f-8a9d-39d4285477d3,proj21,proj21,planner,,proj61task2a,dept7,True,budget,proj12,dept7,,True,proj21task1propa,read,False
5f5aae8b-29ce-4936-8807-0bc510c3ac8e,proj31,proj31,planner,,proj42task1a,dept8,False,schedule,proj32,dept7,,True,proj61task1propa,approve,False
d9fdca79-bf42-45e3-93d9-2a4f28e8840d,proj22,proj22,planner,,proj61task2propa,dept8,False,task,proj21,dept8,,True,proj41task2a,request,False
9ce1b718-a862-46a7-ba91-54f80b6b2c32,proj61,,planner,,proj31task2propa,,True,schedule,proj22,dept7,,True,proj52task2a,setStatus,False
4f476dfd-3874-49a7-b5ee-ee5cf52a3347,proj12,proj12,planner,2,proj31task2a,,False,task,proj32,dept7,,True,proj12task2a,setSchedule,False
cc658e8f-dab8-4f56-a0d1-63097b0da234,proj12,proj12,planner,,proj41task2a,dept7,True,schedule,proj31,dept8,2,True,proj41task2a,setCost,False
973c4d52-5bdb-4367-9e27-291231116cf9,proj41,proj41,planner,2,proj21task2propa,,False,schedule,proj12,dept8,,True,proj51task1a,approve,False
ba347f29-cf38-49b2-812c-712666ddc8d2,proj62,proj62,planner,1,proj52task1propa,,False,schedule,proj51,dept8,2,True,proj21task2propa,request,False
8d288ef5-220e-41d0-872e-67552865f7d1,proj21,,planner,,proj11task1propa,,True,budget,proj61,dept8,,True,proj52task2a,write,False
7f9c926f-d98e-4261-8a25-e18f8f0d9b44,proj11,,planner,2,proj21task2propa,dept7,True,schedule,proj62,dept8,,False,proj52task2propa,setStatus,False
66e6a075-0abf-4fad-8aab-ad69e44a1559,proj51,proj51,planner,2,proj12task1propa,,False,task,proj61,dept7,2,False,proj61task2propa,read,False
2b4e655f-caf9-4c71-8c9d-15242899091d,proj52,proj52,planner,,proj52task1propa,,True,task,proj62,dept8,1,False,proj32task2a,write,False
a2f7d6eb-e987-46fc-b1a6-aa3d88e225a2,proj31,,planner,2,proj61task1propa,dept7,False,budget,proj21,dept8,2,True,proj51task2propa,read,False
b2d58da1-eee1-48d7-a85b-93a19feec38c,proj21,,planner,,proj21task2a,,True,budget,proj12,dept7,2,True,proj22task1a,write,False
ee59c254-07c8-492a-9740-b648fd92b310,proj12,,planner,,proj32task1propa,,True,budget,proj42,dept8,,False,proj31task1a,setSchedule,False
