,user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
0,8e0fbb8d-0d55-49f5-8142-9b1df37fe693,proj73,proj73,accountant,,proj21task1a,dept1,True,task,proj61,dept1,,False,proj12task1a,request,True
1,f9177b86-d944-42c5-98dc-5b8658db584b,proj52,,accountant,,proj22task1a,,False,schedule,proj72,dept5,,False,proj12task2a,approve,True
2,50fb0986-9c9d-4639-9e4e-ec8bfa280e0f,proj52,,accountant,1.0,proj21task2a,,False,schedule,proj72,dept8,1.0,False,proj71task2a,setStatus,True
3,77f19a66-ce6c-4b97-b62c-66e8c57d5ad4,proj22,,accountant,1.0,proj52task1a,,True,task,proj71,dept1,2.0,False,proj22task1propa,request,True
4,ea93ef1e-89a8-4740-83f6-9af887c16753,proj22,,accountant,,proj61task2a,,True,schedule,proj52,dept5,2.0,False,proj21task1propa,approve,True
5,02da2025-2b5d-4bfb-9655-2980dca6b05d,proj51,,accountant,2.0,proj42task2propa,dept2,True,budget,proj22,dept6,1.0,False,proj11task2propa,setCost,True
6,130d09ab-75f8-4443-b48c-65447987b0bf,proj61,proj61,accountant,1.0,proj72task1propa,,False,schedule,proj21,dept5,,False,proj21task1propa,request,True
7,e0fb8d44-e37e-40a5-89a1-5eb1dc239387,proj12,,accountant,,proj73task2a,,True,task,proj51,dept8,2.0,False,proj72task2propa,approve,True
8,b6e70252-c9bd-4103-8e1f-0732a9933c66,proj11,proj11,accountant,1.0,proj61task1propa,,True,schedule,proj72,dept6,2.0,False,proj61task2a,approve,True
9,52f42aac-7cab-4d56-b4af-7853aa44d3f3,proj73,proj73,accountant,,proj21task1a,,False,task,proj51,dept7,,False,proj72task1a,approve,True
10,a4fdba35-c77c-459a-b89b-1ca65c3b03e1,proj22,proj22,accountant,2.0,proj72task1a,dept6,False,task,proj51,dept2,,False,proj51task1propa,setCost,True
11,ff16e9a0-b024-4df2-bd3c-1eeb8d495e92,proj21,,accountant,2.0,proj42task2a,,False,schedule,proj21,dept7,2.0,False,proj71task1propa,setStatus,True
12,41d85b6c-6b48-41a9-b590-a8a92bf8d01e,proj73,proj73,accountant,,proj52task2a,,False,budget,proj74,dept7,,False,proj42task2propa,request,True
13,44961a6d-18b3-4a0a-9001-39f0075835ea,proj73,,accountant,2.0,proj72task1a,dept8,True,budget,proj74,dept1,,False,proj51task1propa,setStatus,True
14,f953c070-87b1-469d-ad58-5d7cf72a7e38,proj72,proj72,accountant,,proj51task1propa,,False,schedule,proj71,dept8,2.0,False,proj21task1a,setSchedule,True
15,602b1528-9c5e-48c2-b128-070414f42a06,proj74,,accountant,,proj62task2a,,False,task,proj22,dept6,,False,proj21task2propa,read,True
16,ad2f755e-739e-4ef3-a9f2-6e14b0685bab,proj51,,accountant,1.0,proj62task2propa,,True,schedule,proj74,dept1,,False,proj73task1propa,write,True
17,350c5131-e47f-4e15-b3cc-0e570d27ba92,proj74,,accountant,,proj12task2propa,dept7,True,task,proj62,dept2,,False,proj12task1propa,setStatus,True
18,b2484c92-c515-473a-a835-b6b58016355b,proj62,,accountant,1.0,proj11task2a,,True,budget,proj52,dept2,1.0,False,proj42task2a,read,True
19,0514b62e-bff3-42e7-94c1-2f32d8dfdb7f,proj22,,accountant,,proj72task1a,,False,budget,proj51,dept6,,False,proj61task2propa,approve,True
