,user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
0,d7ba1ee5-8e4c-4382-9a53-2889128bf50e,proj12,,manager,,proj11task2a,,False,task,proj22,dept2,,False,proj12task2propa,approve,True
1,2692e41f-a2de-4af8-840c-c85f90ca3002,proj22,proj22,manager,1.0,proj11task1a,,False,task,proj11,dept2,1.0,False,proj21task2a,setCost,True
2,83ade87a-ecae-402b-81f2-c2be24ea862d,proj22,proj22,manager,,proj12task2a,dept1,True,budget,proj22,dept2,,False,proj21task2propa,setSchedule,True
3,39d79209-5be1-483e-bc66-6d2320474b62,proj21,,manager,1.0,proj21task1a,dept1,False,task,proj12,dept2,2.0,False,proj11task1a,write,True
4,e4cd7448-1b1f-4a9d-b1e2-f1a4ed770065,proj22,,manager,,proj12task1propa,dept2,True,budget,proj12,dept2,2.0,False,proj21task1a,approve,True
5,edb03661-3cfa-42fe-b779-600013263d65,proj11,,manager,,proj22task1propa,dept1,True,budget,proj22,dept2,2.0,False,proj21task2propa,read,True
6,e378b8c3-7f26-414c-8e87-00d395e8a643,proj12,proj12,manager,1.0,proj21task2a,,False,schedule,proj22,dept2,2.0,False,proj12task1propa,request,True
7,3235b093-1908-4c9b-8b43-520ad8e1f2b6,proj11,proj11,manager,2.0,proj21task2a,dept1,False,task,proj12,dept2,2.0,False,proj22task1a,request,True
8,2b4d6700-ef15-4973-a31b-3dccf3ca1750,proj21,proj21,manager,1.0,proj21task2propa,dept1,True,schedule,proj12,dept2,,False,proj21task2a,setStatus,True
9,cabef8e9-3567-4ae3-b5fd-b1e1b81b9e3d,proj22,,manager,,proj12task1propa,,False,budget,proj12,dept2,2.0,False,proj11task2a,request,True
10,c2dec170-f779-43c2-b955-b0ccfbb4e7af,proj21,proj21,manager,,proj22task1a,dept1,False,budget,proj12,dept2,,False,proj21task2a,setSchedule,True
11,892108a2-7486-4cfb-b289-cbfd010066e2,proj12,,manager,2.0,proj11task2a,,False,schedule,proj11,dept2,1.0,False,proj21task1a,setCost,True
12,cd04e838-4ee8-445d-8626-4ca70586d0bf,proj12,,manager,2.0,proj12task1a,,True,schedule,proj11,dept1,,False,proj22task2a,setSchedule,True
13,c3fdf6a9-906a-4155-a21a-5acb2049e28d,proj12,,manager,,proj12task2a,,False,budget,proj22,dept2,,False,proj21task1propa,setStatus,True
14,21390461-4f4a-4373-af92-91bf3a53e56f,proj11,proj11,manager,,proj12task2a,,False,task,proj11,dept1,,False,proj11task1propa,write,True
15,eac424ce-5ded-44a0-b214-4f1fb82ec6de,proj22,,manager,,proj11task1propa,,True,task,proj22,dept2,2.0,False,proj21task1propa,read,True
16,16d30156-aa9f-488c-a9ad-fb2780568852,proj22,proj22,manager,,proj11task2a,,False,schedule,proj22,dept1,,False,proj12task2propa,setCost,True
17,b73fa8e1-a642-48ca-ba08-a72c99383846,proj22,,manager,,proj21task2a,,True,budget,proj21,dept1,1.0,False,proj11task1a,read,True
18,77ef6a9d-74e3-4c79-baea-e571c4eb9237,proj21,proj21,manager,,proj21task1propa,,True,budget,proj22,dept1,2.0,False,proj22task1a,setSchedule,True
19,fd62fcf1-62b5-4944-8118-66df9ccd25b1,proj12,,manager,1.0,proj22task2a,,True,schedule,proj22,dept1,,False,proj22task2a,setSchedule,True
20,2a144708-a14a-458d-8a1e-2eee0fccd2d3,proj22,proj22,manager,1.0,proj11task1propa,,False,schedule,proj22,dept2,2.0,False,proj21task1propa,approve,True
21,50c274da-c240-4321-beed-47df3cc3b2b7,proj11,proj11,manager,,proj21task2a,,False,task,proj22,dept1,2.0,False,proj21task1a,approve,True
22,a6991ea0-c5e5-43da-8d7c-bca1ffa43816,proj12,,manager,,proj22task1a,,False,task,proj11,dept2,2.0,False,proj12task2propa,read,True
23,71080160-08cf-42ef-8846-4dd0450f702a,proj12,proj12,manager,1.0,proj11task1propa,,False,schedule,proj12,dept1,2.0,False,proj12task1propa,setSchedule,True
24,f7d1a439-8771-454c-9c0f-5b1763cf8e48,proj22,,manager,1.0,proj21task1propa,dept2,True,schedule,proj21,dept1,1.0,False,proj21task1propa,write,True
25,355c064c-6c2d-4a18-a153-ee7b35df9dbd,proj22,,manager,2.0,proj12task1a,dept1,False,task,proj21,dept1,1.0,False,proj12task2a,setSchedule,True
26,71cf3f1d-31af-4c3b-b25d-d29bdcb085f8,proj22,,manager,,proj21task1propa,,False,task,proj11,dept1,1.0,False,proj11task2a,write,True
27,b051b556-a7e1-4baf-836f-f50ac3fe66f1,proj21,proj21,manager,,proj21task2a,dept1,True,schedule,proj11,dept1,,False,proj11task2propa,setCost,True
28,08580403-88e1-44ac-83ec-3b1d852642d9,proj22,,manager,2.0,proj22task2a,dept2,False,budget,proj22,dept1,,False,proj12task1propa,approve,True
29,32fda738-3a85-400e-b51c-bbb493c815be,proj21,,manager,,proj22task1propa,,True,task,proj12,dept1,2.0,False,proj12task1a,approve,True
30,9f13b7ab-cd4a-4e5c-b994-3bf0377e58a3,proj22,,manager,,proj11task1propa,,True,budget,proj22,dept2,,False,proj11task1a,write,True
31,d22c3469-2c49-4a54-85cb-bc0fb91dea9c,proj22,proj22,manager,2.0,proj22task1propa,dept2,True,task,proj22,dept1,1.0,False,proj11task1propa,request,True
32,a23e35a3-2602-45ba-8927-6d73ce4d0967,proj11,proj11,manager,,proj12task2a,,True,schedule,proj11,dept2,1.0,False,proj12task2propa,request,True
33,6d50a3eb-22db-4e00-85d5-9970d3142961,proj11,,manager,2.0,proj22task1propa,,False,schedule,proj21,dept1,1.0,False,proj11task2a,setCost,True
34,b8684c0b-ab5f-4aa0-b8ae-74e1da195489,proj21,,manager,1.0,proj12task2propa,dept1,True,task,proj21,dept2,,False,proj11task1propa,approve,True
35,646f480d-26be-46f5-91f5-8257a11c3dab,proj22,,manager,1.0,proj12task1a,dept2,True,schedule,proj11,dept2,,False,proj21task2propa,setStatus,True
36,d212a1e3-0b8e-47bc-ae09-191c4029b44b,proj22,proj22,manager,1.0,proj21task2a,,True,budget,proj11,dept2,2.0,False,proj21task1a,setSchedule,True
37,0f56fcc8-b74d-46f5-9402-14edcfde83bb,proj21,proj21,manager,2.0,proj21task2a,dept1,False,task,proj11,dept1,,False,proj12task1a,write,True
38,0e745069-e77a-4af3-8220-fc19466ec188,proj12,,manager,,proj22task1propa,,True,schedule,proj11,dept2,,False,proj22task1a,read,True
39,fed5b903-744d-44b9-9daf-0cff1a857a7c,proj12,proj12,manager,,proj12task2propa,,True,task,proj11,dept2,,False,proj21task1propa,request,True
40,6e33b08b-1c48-4533-a206-7bce9dbb570d,proj21,,manager,,proj21task2propa,,False,schedule,proj11,dept2,1.0,False,proj11task2a,request,True
41,cd3d832c-b629-4bc7-bf3e-d81aa7ca8447,proj21,proj21,manager,2.0,proj12task2propa,dept1,False,budget,proj21,dept2,2.0,False,proj12task1a,approve,True
42,c19f7529-5b34-4c80-91f6-b7ff7d4a64fe,proj12,proj12,manager,1.0,proj12task1a,,True,task,proj12,dept2,1.0,False,proj21task1a,setSchedule,True
43,7638af13-be50-4463-8b25-2e38b8fe2d37,proj11,,manager,2.0,proj11task1a,,True,task,proj22,dept1,2.0,False,proj21task2propa,request,True
44,1e6054e3-bf4b-4c10-8fe1-bcb5d651f748,proj22,proj22,manager,,proj12task1a,dept2,False,schedule,proj11,dept1,1.0,False,proj21task2a,approve,True
45,ce137e9b-07be-47f1-acc1-d883decd094c,proj12,proj12,manager,,proj22task2a,dept2,False,budget,proj12,dept2,,False,proj21task2propa,write,True
