user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
6ae0cadb-0a83-43ab-b3ed-20f1ec46ac88,proj21,proj21,manager,1,proj31task1a,dept2,True,task,proj22,dept1,1,False,proj31task2a,setStatus,True
29279b72-73ad-44b6-b4b5-08329ce5a0e2,proj21,proj21,manager,2,proj73task1a,dept1,True,budget,proj11,dept2,1,False,proj73task1propa,write,True
c7785e03-d743-4ec0-bf86-e1d56a7e0e26,proj11,,manager,,proj61task1a,,False,task,proj11,dept2,,False,proj42task2propa,setSchedule,True
272994e9-8564-4983-aa1b-e6c116a4f466,proj22,,manager,,proj73task1propa,dept2,False,task,proj22,dept1,2,False,proj41task2a,setSchedule,True
3ace6b14-5fa7-44ae-a81c-8b724da6e4a2,proj21,proj21,manager,,proj71task2a,dept1,True,budget,proj12,dept1,1,False,proj62task2propa,setStatus,True
3e6a3999-9f7e-427c-ab71-c20777335ce2,proj22,proj22,manager,,proj72task1propa,,True,schedule,proj22,dept2,1,False,proj42task1a,setCost,True
8a50a0b4-0e32-40c3-a69e-6e009ad1d07e,proj21,proj21,manager,2,proj42task2propa,,False,schedule,proj12,dept2,,False,proj41task1a,setSchedule,True
1b4d8709-9e45-4ae7-b7c0-8deea9a21fef,proj12,,manager,2,proj62task1propa,dept2,True,task,proj22,dept2,,False,proj51task1propa,setCost,True
4d2edf84-39dd-4164-94e5-31ed3048b5e6,proj12,proj12,manager,,proj73task2propa,,False,schedule,proj21,dept2,,False,proj42task2a,setSchedule,True
dc911d84-5169-4c7d-9207-05ebe7aa5df8,proj21,,manager,2,proj41task1a,dept2,False,budget,proj21,dept1,,False,proj73task1a,setStatus,True
e98041a9-b6d0-4a43-a52e-a1804e1df2a3,proj21,proj21,manager,2,proj51task2a,,True,task,proj22,dept2,,False,proj62task2a,write,True
3dd4920b-8bd4-46e9-85ff-547604673beb,proj11,proj11,manager,,proj61task1a,dept1,False,schedule,proj11,dept2,2,False,proj73task1a,write,True
704ea40a-8509-4c48-9756-d58679a53247,proj22,proj22,manager,,proj32task1propa,,True,task,proj11,dept1,,False,proj73task2propa,setSchedule,True
4adad429-85b3-4930-9d56-5ec6b14eda00,proj21,,manager,,proj52task1propa,dept2,True,budget,proj21,dept1,,False,proj41task1a,setCost,True
1dac42a2-8ec0-4d6d-ba1a-9a2e2ce09119,proj21,,manager,,proj31task1propa,,True,schedule,proj22,dept1,2,False,proj71task2a,read,True
cd46d20c-0b56-493f-a2e8-07a9fc113408,proj12,proj12,manager,1,proj72task1propa,dept2,False,task,proj11,dept2,,False,proj51task2a,approve,True
dfdfffb9-1648-41aa-b6e6-362d3226432a,proj11,,manager,,proj72task2propa,dept1,False,budget,proj22,dept1,1,True,proj31task2a,read,True
07296f5b-e4b4-4896-a23d-48cc01b016ff,proj11,proj11,manager,2,proj62task2propa,dept2,False,task,proj21,dept1,2,False,proj72task2a,read,True
8b841bb6-b92c-4353-bd1c-50ce16cbe748,proj12,,manager,2,proj72task1propa,,False,budget,proj21,dept1,,False,proj32task1a,read,True
