user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
7207bcf2-72cd-4c97-845a-93a819a49443,proj41,proj41,accountant,2,proj52task2a,dept4,False,task,proj41,dept4,,True,proj72task1a,read,False
c1505374-6d2e-4776-85b5-2a48bfa0cf59,proj42,proj42,accountant,,proj11task1a,,True,budget,proj42,dept4,1,False,proj51task2propa,setSchedule,False
2c464d09-3cb1-4696-b155-f3195a1fbfdf,proj31,proj31,accountant,,proj71task2propa,dept4,False,task,proj32,dept4,,True,proj12task2a,setSchedule,False
9822e563-b2fa-4ffb-97d6-dd40ef825933,proj41,proj41,accountant,,proj72task1a,,False,schedule,proj31,dept4,,True,proj62task2a,write,False
e3fa191d-777d-4dcc-a6e3-3caabbf193f9,proj32,proj32,accountant,2,proj21task1a,,False,budget,proj32,dept4,2,True,proj51task1propa,setStatus,False
1a043cd5-e0bc-4794-967c-0b70b978b171,proj32,proj32,accountant,,proj51task1a,dept3,False,task,proj41,dept3,1,False,proj11task2a,read,False
2a4bfe0c-7494-43d6-be94-10aa6fba515c,proj42,,accountant,,proj72task2a,,False,schedule,proj32,dept3,1,False,proj12task2propa,request,False
747fb8cb-3d70-4908-8897-a47072d8ed19,proj42,proj42,accountant,,proj12task1propa,dept3,False,task,proj41,dept3,2,False,proj62task2a,read,False
a40f0706-a040-4b73-9461-4be12dfca713,proj32,,accountant,,proj73task1a,,False,task,proj42,dept3,1,True,proj73task2a,setStatus,False
bdb0023f-bf58-4d5a-9c85-1dd2f13bf67a,proj32,proj32,accountant,,proj12task1propa,,False,task,proj42,dept3,,True,proj61task1a,read,False
e12faa10-588e-4e8e-bb84-9a4351added4,proj42,,accountant,1,proj11task1a,dept3,False,task,proj31,dept3,2,False,proj73task1propa,setStatus,False
05e072cf-c3d6-43c4-9a4c-da5e25ccce0e,proj32,,accountant,,proj52task2a,dept4,False,task,proj32,dept4,,True,proj52task2propa,setCost,False
1e5807e6-6299-4877-ab5b-c644efe447e0,proj41,proj41,accountant,1,proj11task2a,,True,budget,proj31,dept4,,True,proj61task1propa,read,False
8496d061-6754-4025-8e25-888359632982,proj31,proj31,accountant,1,proj73task2a,dept3,False,task,proj41,dept4,1,True,proj62task2propa,setCost,False
e950fdce-7e99-4e4f-89bd-94436bee63bb,proj31,,accountant,,proj12task2a,dept4,True,schedule,proj32,dept3,,False,proj22task1a,approve,False
364ddf28-5ad0-4509-9458-63da40353243,proj42,proj42,accountant,2,proj52task1a,dept3,False,budget,proj32,dept3,,True,proj52task1propa,approve,False
73f32c51-35c4-4b30-a105-526006d9a98a,proj41,proj41,accountant,,proj51task2propa,dept4,True,task,proj42,dept3,2,False,proj73task1a,request,False
db90a494-52f8-4fbf-b4e9-e28cdd481546,proj42,,accountant,,proj62task1a,dept4,False,schedule,proj41,dept3,,False,proj61task2propa,setCost,False
59f647f1-3daa-4832-b210-c6880192671c,proj41,,accountant,2,proj72task2propa,dept4,False,schedule,proj41,dept4,,False,proj51task1a,setSchedule,False
c9703e48-c5c0-426a-a7e8-7e3c3469cb3c,proj42,,accountant,2,proj51task2a,,True,task,proj32,dept3,1,True,proj73task2propa,setStatus,False
67028be0-5112-4001-8688-5d27ea8779b5,proj32,,accountant,1,proj73task1propa,,True,budget,proj32,dept4,,True,proj61task1propa,read,False
91b8c71e-5393-48d5-9f93-0ab6489f4c7f,proj42,,accountant,2,proj73task1a,dept3,False,schedule,proj42,dept4,,True,proj11task1propa,request,False
1ed60cec-fbe5-4829-b24a-091ee88df672,proj42,,accountant,,proj62task1a,dept4,True,schedule,proj41,dept3,,True,proj22task1a,setStatus,False
5ed8a61c-73cf-428f-a95e-bdc9447729d4,proj32,proj32,accountant,,proj12task2a,dept4,False,task,proj32,dept4,,True,proj21task2propa,setCost,False
64e9b67d-4508-4a79-ad1d-3bec7e18f045,proj41,proj41,accountant,1,proj62task2propa,dept4,True,budget,proj31,dept3,2,False,proj72task2propa,approve,False
a70f2900-3184-42e8-961d-8c8986ccf02e,proj41,,accountant,,proj52task1propa,,True,budget,proj41,dept3,2,False,proj12task1a,approve,False
05f8b662-7064-4311-b59d-bce61427e77c,proj42,proj42,accountant,2,proj42task2a,,False,schedule,proj32,dept3,1,False,proj62task1propa,read,False
9e515dc2-c593-4d20-8a01-b680e34d1969,proj31,proj31,accountant,1,proj52task1a,,False,schedule,proj42,dept3,,False,proj71task2propa,read,False
245a5569-d940-48c6-9eb3-7cf84252d0d0,proj42,,accountant,,proj52task1a,,False,schedule,proj42,dept3,,False,proj21task1a,approve,False
d5e5f408-12c7-4b82-a577-728c6df1a5a0,proj42,proj42,accountant,1,proj73task2a,,False,budget,proj32,dept3,2,False,proj42task2a,setCost,False
42a5e9a7-8ab3-4d18-abce-85181f7b40a3,proj42,proj42,accountant,,proj72task2a,,True,budget,proj41,dept4,1,False,proj52task1a,setStatus,False
6b644803-940d-48b6-96b5-bb1f1c79a1e6,proj31,proj31,accountant,,proj12task1a,dept3,False,schedule,proj42,dept3,1,False,proj62task2propa,write,False
e5ce88de-b972-4ef9-84a1-5ce13d44ca75,proj42,proj42,accountant,,proj62task1a,dept3,False,budget,proj31,dept4,1,False,proj51task2a,read,False
241b1c42-3465-4f6c-8704-c57b920445f0,proj31,proj31,accountant,2,proj71task2propa,dept4,True,budget,proj42,dept3,2,True,proj52task2a,read,False
6d742c2b-bd01-4ebd-ba58-72d19a4a29d3,proj42,proj42,accountant,1,proj52task2propa,,True,budget,proj41,dept3,,False,proj21task1propa,request,False
a934a6cc-12e1-4442-b7a4-61708dab66d8,proj31,,accountant,,proj71task2propa,,False,task,proj32,dept3,,False,proj11task2propa,request,False
ef4b248e-416e-4d5c-a679-5daa11bc6e42,proj32,,accountant,1,proj12task2a,dept3,True,schedule,proj32,dept4,2,True,proj72task1propa,request,False
209c4ad8-e251-4ff9-9b50-c979fcb0f109,proj32,proj32,accountant,,proj12task1a,dept4,False,schedule,proj42,dept3,,True,proj12task2a,setStatus,False
c28f52d6-9bbf-479f-8fc6-2801e1506854,proj41,proj41,accountant,,proj11task2a,,False,task,proj32,dept3,,True,proj61task1a,approve,False
15b2f1b6-a545-4809-b896-fbca51953be8,proj31,proj31,accountant,1,proj12task2a,,False,budget,proj41,dept4,,False,proj72task2propa,setSchedule,False
cd6818d4-678a-4203-bf89-2b9b8097d579,proj41,,accountant,,proj51task1a,dept3,True,budget,proj32,dept3,1,True,proj73task2a,setCost,False
2292e93a-d0da-43db-aa43-d872d5727b86,proj41,,accountant,1,proj72task1propa,,False,budget,proj42,dept3,2,False,proj51task2a,setStatus,False
c1b4dfaa-6e79-4a1c-b25d-c2371dcc6040,proj32,proj32,accountant,,proj62task2propa,dept4,False,task,proj42,dept4,2,True,proj71task1a,setCost,False
3ab52ec2-fa0e-425f-9edf-8ce314c2e0c3,proj32,proj32,accountant,1,proj52task2a,dept3,True,budget,proj31,dept4,,False,proj61task2propa,write,False
e4472255-1137-448e-ae55-969f9008a9df,proj31,proj31,accountant,1,proj71task2a,dept3,False,task,proj41,dept4,,True,proj62task1a,setSchedule,False
3476a22e-c996-4351-907e-bcac93a66388,proj31,,accountant,1,proj61task1propa,dept4,True,budget,proj42,dept3,,False,proj11task2propa,write,False
ad73b3bb-f2e4-4d05-91d7-686c0e355b3e,proj42,,accountant,1,proj62task1propa,dept4,True,task,proj31,dept4,1,True,proj22task1propa,setCost,False
a8c9300d-2b7d-4f5b-a86a-c3c0893aefd2,proj42,proj42,accountant,2,proj22task1a,,True,budget,proj42,dept4,2,True,proj71task2propa,setCost,False
572dfc12-cdd7-46a1-99e1-8c55ec031e83,proj32,,accountant,,proj12task2a,,False,task,proj31,dept3,2,False,proj21task2propa,setCost,False
03a63d32-7796-4405-bd03-12998c162089,proj31,,accountant,,proj11task1a,dept4,True,task,proj32,dept4,,False,proj51task2propa,setCost,False
b4e6616a-7ecc-4b96-935c-264e6be6ec55,proj32,proj32,accountant,,proj72task1propa,dept4,True,budget,proj41,dept4,,False,proj12task2propa,setStatus,False
46b7ca7c-e776-4c39-9f63-e2a7480e6bfe,proj32,proj32,accountant,,proj71task2a,dept4,False,schedule,proj42,dept4,1,True,proj52task2a,setStatus,False
c94c73e7-b0b4-4c9c-937c-2e77a17bdeb9,proj42,proj42,accountant,2,proj61task2propa,,True,budget,proj31,dept3,1,False,proj71task1a,request,False
28017352-48c9-45fa-9bce-654266f91a97,proj32,proj32,accountant,,proj61task2a,,False,budget,proj41,dept3,1,True,proj73task1a,approve,False
375d2818-aeae-4060-9347-0dd31401b9a2,proj31,,accountant,1,proj71task2a,,True,budget,proj42,dept4,1,False,proj61task2propa,approve,False
5959484a-4f52-41c6-af42-754ed9ecdaf7,proj32,proj32,accountant,2,proj61task2propa,dept3,True,schedule,proj41,dept4,,True,proj11task1propa,setSchedule,False
39864d6b-ee79-4d53-b41c-39341d5dac6e,proj42,,accountant,,proj61task1a,,True,schedule,proj41,dept3,2,True,proj61task1propa,setSchedule,False
1ef2288b-9622-4352-a66f-ac9198983411,proj31,,accountant,1,proj51task1propa,,True,budget,proj42,dept4,,True,proj72task1propa,write,False
0e99f276-b555-4f8c-9bc8-d0ba3bad27ae,proj31,,accountant,2,proj21task1a,dept3,False,schedule,proj42,dept3,1,True,proj52task1propa,setSchedule,False
