user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
3541e5e5-f9ca-427c-bf60-26d034d524ca,proj32,proj32,accountant,,proj62task1a,,False,schedule,proj32,dept1,2,True,proj61task1propa,approve,False
b4e9f4a2-89e3-4733-8bda-6b7339e5a20c,proj31,,accountant,,proj11task1a,dept8,True,schedule,proj32,dept7,,True,proj71task1propa,setCost,False
96282c4d-345f-4954-831e-d735e411d799,proj42,proj42,accountant,,proj12task1a,dept8,False,budget,proj41,dept1,,False,proj11task2propa,read,False
a33d216b-6eaa-4a47-91f2-66671876ecfb,proj41,proj41,accountant,,proj61task2a,dept7,False,budget,proj41,dept1,,True,proj42task2a,request,False
aec270aa-3d88-4680-a531-1dea766510d7,proj42,proj42,accountant,1,proj11task1propa,,True,task,proj41,dept6,2,False,proj71task1propa,setSchedule,False
9d4b9c0a-33c9-4c20-831c-f0c8d3a1ae64,proj32,proj32,accountant,,proj11task1propa,,False,budget,proj31,dept2,1,False,proj61task1a,setSchedule,False
2a71f872-c462-4b44-82e1-a98b1a1ece36,proj42,proj42,accountant,,proj52task1propa,,False,task,proj42,dept2,2,False,proj62task2a,read,False
02af0b61-55bf-427d-aa68-c62c4d059196,proj42,proj42,accountant,,proj11task2propa,dept8,True,task,proj41,dept2,,True,proj51task2a,setCost,False
23457cd8-a175-4564-88c3-3c7cb9503f93,proj42,,accountant,,proj62task2a,dept6,True,budget,proj42,dept6,2,True,proj72task1propa,setCost,False
a5aaba44-72d9-4495-9c56-f4b148355110,proj42,proj42,accountant,,proj21task2propa,dept7,True,schedule,proj42,dept6,1,False,proj61task2a,request,False
a66c129a-a72c-4c0b-90cf-8bfa3a9eaa94,proj32,,accountant,2,proj52task2a,dept1,True,budget,proj31,dept6,,False,proj12task1a,approve,False
9a24c61e-a168-4809-9cc6-52abd5b85e06,proj41,proj41,accountant,,proj12task2a,,True,task,proj32,dept2,1,False,proj52task1propa,setStatus,False
be130dba-f906-4801-91cb-2ab04187a9d1,proj41,,accountant,2,proj21task2a,dept1,False,task,proj32,dept1,2,True,proj21task1propa,approve,False
e071f652-8d81-408d-a992-d1237102eb2a,proj31,proj31,accountant,1,proj51task1a,dept7,True,schedule,proj32,dept2,2,True,proj51task1a,setCost,False
c2093443-5bd4-48c2-b3e7-f8e3840ce0d9,proj31,proj31,accountant,,proj11task1a,dept8,True,budget,proj31,dept7,,True,proj52task2propa,write,False
650fb00e-4969-4bc8-8cc4-cd162eeaafde,proj41,,accountant,,proj22task1a,dept1,True,schedule,proj32,dept1,,True,proj12task1propa,setSchedule,False
2d471d2f-a56a-4dfd-9f63-5e30237fe69d,proj31,,accountant,,proj11task1propa,dept6,False,budget,proj42,dept2,,False,proj61task2propa,request,False
268bab6c-e36c-4e83-b082-8554ce22247c,proj42,,accountant,,proj52task2a,,True,task,proj42,dept1,2,False,proj61task1a,setSchedule,False
e5d7f4c5-0597-4f50-ae3b-ccb21a24f519,proj42,proj42,accountant,,proj72task1a,,False,task,proj32,dept7,,False,proj72task2propa,approve,False
68d933ae-a594-4791-8e7e-08102ada3749,proj42,proj42,accountant,2,proj52task1propa,dept6,True,task,proj31,dept6,,False,proj61task1a,setStatus,False
c8f7f04a-12d1-45c3-af63-5f398c22ab2b,proj42,proj42,accountant,2,proj73task2propa,dept2,False,task,proj32,dept6,,False,proj62task1a,approve,False
87f865b3-5e1b-4fe2-8dbe-186ccdb93344,proj42,proj42,accountant,,proj42task2propa,dept7,True,schedule,proj32,dept7,,True,proj51task1propa,setStatus,False
e79478b8-4bdf-441b-a498-197e78ce8ab9,proj31,proj31,accountant,,proj21task1propa,dept2,False,budget,proj42,dept5,2,True,proj21task2propa,write,False
d0520796-ba96-4e03-8272-9cbd4a69ca7b,proj41,,accountant,1,proj11task2propa,,True,task,proj41,dept7,1,False,proj72task1propa,approve,False
f7de4655-f057-4eb1-8491-a634179ca498,proj31,proj31,accountant,2,proj61task1a,dept1,False,budget,proj32,dept8,,True,proj73task2propa,setSchedule,False
21701ca9-9663-4f2e-a3bc-a9d1c3ea1604,proj41,,accountant,1,proj12task2a,dept1,False,schedule,proj32,dept2,,False,proj12task1propa,approve,False
e92ab2bd-5dff-4b73-9a66-d8c2ccdd51be,proj41,,accountant,,proj71task1propa,dept5,False,schedule,proj42,dept2,1,True,proj12task2a,setStatus,False
10b5214a-0305-4f3a-a4a7-cea0cebaa33e,proj31,,accountant,,proj12task2propa,dept1,False,task,proj41,dept2,,True,proj72task1propa,setStatus,False
b286ea85-4a6f-4629-9eee-d41d6a11550d,proj41,,accountant,1,proj51task2propa,,False,schedule,proj42,dept1,2,True,proj71task1a,approve,False
db247fc2-7eb4-4d7f-88d8-daeed721d15b,proj41,,accountant,2,proj22task1propa,dept8,False,schedule,proj32,dept6,2,False,proj11task2a,request,False
b89df68f-88b3-4682-b337-66e8a8c8d7b6,proj41,,accountant,1,proj52task1a,,True,schedule,proj32,dept7,,True,proj72task1a,write,False
1db61c85-4670-4358-b7e3-d9db37e03335,proj31,,accountant,2,proj52task1propa,dept7,False,task,proj41,dept7,1,False,proj72task2propa,approve,False
9f737b98-75f9-4b88-b372-45fe10bd15d1,proj42,proj42,accountant,1,proj71task2propa,,False,budget,proj31,dept5,,False,proj61task2propa,setStatus,False
36fa9ff7-b490-478b-a4cb-4c18712a1332,proj41,,accountant,2,proj12task2propa,dept5,False,budget,proj31,dept5,,True,proj73task2a,setCost,False
337e94d5-486a-40ea-a5f2-31c11ab56805,proj32,,accountant,1,proj21task1propa,dept7,True,task,proj32,dept7,,True,proj21task1propa,setCost,False
b21824ee-a03c-4937-b579-5633b74f6a86,proj42,proj42,accountant,2,proj72task1propa,,True,schedule,proj32,dept1,,True,proj21task1a,request,False
f4e35aaf-a018-44de-bdd3-42b865cd3c4e,proj31,,accountant,,proj62task1propa,,False,budget,proj31,dept2,1,False,proj22task2a,approve,False
be88fd60-457f-419e-8938-724519246547,proj41,,accountant,,proj62task1a,,True,task,proj31,dept7,2,True,proj21task2propa,setSchedule,False
0932639f-ee58-4a57-b303-da8610d6340b,proj42,,accountant,1,proj12task1propa,dept5,False,task,proj41,dept2,,False,proj21task2propa,setSchedule,False
433d7e2a-44b6-4bb3-8633-42447c96eee1,proj41,proj41,accountant,,proj22task2a,dept7,False,schedule,proj42,dept7,,False,proj51task1a,write,False
4d289440-3a96-429a-90c3-e2036dca4bc2,proj42,proj42,accountant,1,proj52task2propa,,True,task,proj42,dept2,2,False,proj71task2a,setSchedule,False
245bf22e-8880-4646-9771-7f5f1b0b08ca,proj31,proj31,accountant,,proj61task1a,dept8,True,budget,proj42,dept8,,False,proj72task2propa,write,False
