user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
8db6041c-eb77-43b5-b971-fd567a228c47,proj61,,accountant,1,proj52task2a,,True,schedule,proj62,dept3,2,False,proj72task2propa,write,False
426956a2-f6b3-473e-8aaf-17dfedbf903b,proj21,,accountant,,proj52task2propa,,False,task,proj12,dept3,1,False,proj73task1a,setCost,False
727861c2-7583-4d40-b60c-91b10db6be90,proj73,,accountant,,proj52task1a,,True,task,proj22,dept4,,True,proj71task1propa,write,False
a996d169-a3f1-43cb-86cc-79bec8831fd2,proj72,,accountant,,proj73task2a,dept3,True,schedule,proj12,dept3,1,True,proj11task2propa,request,False
ee3fd21a-0a6e-4dab-8e0f-54e9761c4d94,proj71,proj71,accountant,1,proj21task1propa,dept3,True,schedule,proj22,dept3,2,False,proj51task1a,setSchedule,False
ef69a968-6cd8-4307-a0a3-488b33abe08a,proj73,,accountant,1,proj51task2a,dept4,True,schedule,proj51,dept4,1,True,proj71task1a,request,False
5b8ea0aa-1851-4272-850a-1c93362913af,proj73,,accountant,,proj52task1propa,,True,schedule,proj73,dept4,,True,proj12task1propa,read,False
ec107deb-c33d-4d48-8116-485ed8ef0003,proj52,,accountant,,proj21task1propa,,True,budget,proj51,dept3,,True,proj11task1propa,write,False
7978b53a-e28f-4e07-9c38-d46a0e40c88c,proj21,,accountant,2,proj72task2propa,dept4,True,schedule,proj12,dept3,1,False,proj52task2a,setCost,False
1b3b4278-82dd-4066-9004-13d654b53202,proj61,proj61,accountant,,proj51task2propa,dept4,True,budget,proj74,dept4,,True,proj72task1a,read,False
f0fafe2a-063e-4486-bf36-78c81153a4b7,proj11,,accountant,2,proj22task1a,dept3,False,schedule,proj52,dept3,1,True,proj51task1a,approve,False
ef198779-9b35-4641-9a3d-92a267861e7e,proj51,proj51,accountant,2,proj51task1propa,,True,budget,proj21,dept3,1,False,proj51task1propa,approve,False
a7c9a57a-ec56-4516-8e91-b830e087e47a,proj21,,accountant,2,proj51task2a,dept4,False,task,proj73,dept4,,True,proj52task2a,setSchedule,False
506b40c0-5c23-4e3e-aa80-5ce3c4eb9f0b,proj22,proj22,accountant,,proj62task2a,,False,task,proj11,dept3,,True,proj62task1a,setCost,False
3d7b9aeb-b575-4ead-aabe-cbf7c9215984,proj21,,accountant,1,proj21task1a,dept4,False,schedule,proj52,dept3,,True,proj61task1propa,approve,False
039e55d9-93ad-443a-9e0e-c91bde18217a,proj61,proj61,accountant,2,proj22task1propa,,True,task,proj11,dept4,,True,proj62task2a,read,False
22e3f820-48e4-4e74-85f2-266c5547fc98,proj12,,accountant,,proj71task2propa,dept3,False,budget,proj12,dept4,,False,proj62task1propa,setStatus,False
84256506-e3f4-4eae-ae53-7daeb28135b6,proj62,,accountant,2,proj71task1propa,,False,schedule,proj61,dept3,1,True,proj71task2a,setCost,False
c4be7a89-d718-442c-b87f-a09abe38a380,proj71,,accountant,,proj12task2a,dept4,True,budget,proj73,dept4,1,False,proj61task2a,setCost,False
01421883-511e-4e9d-8a4c-04225432fcaf,proj62,proj62,accountant,2,proj61task1propa,dept3,False,budget,proj73,dept4,2,True,proj62task1a,write,False
